City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Gaomi,36.3833,119.7528,62.38,85,100,13.31,CN,1633826088
Biak,-0.9131,122.8766,81.99,67,100,5.32,ID,1633826090
Samsun Province,41.25,36.3333,61.0,85,40,2.3,TR,1633826092
Baykit,61.67,96.37,32.92,82,100,15.35,RU,1633826094
Mount Gambier,-37.8333,140.7667,53.51,71,75,12.66,AU,1633826095
Kichmengskiy Gorodok,59.9816,45.7854,43.66,97,100,3.94,RU,1633826096
Lata,40.1629,-8.3327,61.07,71,37,3.4,PT,1633826098
Bourail,-21.5667,165.4833,80.42,41,0,7.2,NC,1633826099
Chechat,24.7667,75.8833,76.12,65,0,4.83,IN,1633826102
Pisco,-13.7,-76.2167,64.02,82,0,13.8,PE,1633826104
Faanui,-16.4833,-151.75,78.75,70,22,5.82,PF,1633826105
Strezhevoy,60.7333,77.5889,30.18,81,20,8.99,RU,1633826107
Constitución,-35.3333,-72.4167,50.54,90,67,3.56,CL,1633825856
Newport,51.5877,-2.9984,60.85,90,100,3.87,GB,1633825834
Koutsouras,35.0339,25.9469,70.11,79,0,1.74,GR,1633826111
Chumikan,54.7183,135.315,46.17,70,100,18.86,RU,1633826112
Beyneu,45.3167,55.2,46.0,63,0,7.63,KZ,1633826115
Mount Isa,-20.7333,139.5,89.37,33,90,5.75,AU,1633826116
Myanaung,18.2833,95.3167,78.4,90,70,1.79,MM,1633826117
San Policarpo,12.1791,125.5072,83.79,73,100,19.01,PH,1633826119
Oranjestad,12.524,-70.027,84.15,79,20,13.8,AW,1633825933
Tortolì,39.9256,9.6572,62.42,72,20,9.22,IT,1633826121
Norwich,52.6278,1.2983,56.86,96,100,2.3,GB,1633825858
Kavaratti,10.5669,72.642,81.97,79,48,12.28,IN,1633826124
Goderich,43.7501,-81.7165,64.9,92,15,14.61,CA,1633826125
Lat Yao,15.751,99.7893,79.61,82,95,2.44,TH,1633826127
Priozyornoye,45.2698,36.3303,53.73,62,77,14.99,UA,1633826128
Ojinaga,29.5667,-104.4167,95.95,10,1,0.0,MX,1633826131
Hobart,-42.8794,147.3294,53.46,52,75,8.01,AU,1633825940
Souillac,-20.5167,57.5167,72.36,83,75,14.97,MU,1633826133
Tambopata,-12.7333,-69.1833,80.64,68,76,2.46,PE,1633826134
Perafita,41.1825,-8.2545,63.28,51,73,4.56,PT,1633826136
Marawi,7.9986,124.2928,74.95,79,100,4.23,PH,1633826137
Nago,26.5881,127.9761,84.27,75,93,19.73,JP,1633826139
Tawang Town,27.5833,91.8667,54.14,69,1,2.75,IN,1633826140
Lüderitz,-26.6481,15.1594,62.85,53,18,13.51,NA,1633826142
Pasir Gudang,1.4584,103.8805,84.36,82,75,3.44,MY,1633826143
Kumul,42.8,93.45,43.02,32,0,6.17,CN,1633826020
Papar,5.7333,115.9333,82.4,74,100,3.58,MY,1633826145
Iguape,-24.7081,-47.5553,65.23,95,100,14.67,BR,1633826147
Alabaster,33.2443,-86.8164,73.99,91,1,0.0,US,1633826148
Riyadh,24.6877,46.7219,73.54,18,0,2.57,SA,1633826150
Namtsy,62.7161,129.6658,37.51,81,100,8.9,RU,1633826151
Geraldton,-28.7667,114.6,64.81,39,0,11.5,AU,1633825881
Florianópolis,-27.6146,-48.5012,65.62,86,90,2.3,BR,1633826052
Ginir,7.1333,40.7,58.44,82,94,5.59,ET,1633826155
Omboué,-1.5746,9.2618,76.78,90,100,8.77,GA,1633826156
San Alberto,7.7611,-73.3922,76.8,91,100,5.1,CO,1633826158
Andenes,69.3143,16.1194,47.07,93,75,5.75,NO,1633826159
Urubichá,-15.3833,-62.95,77.34,74,31,2.68,BO,1633826161
Lavrentiya,65.5833,-171.0,32.34,74,82,7.38,RU,1633826162
Dali,25.7,100.1833,63.63,75,14,2.39,CN,1633826165
Hailey,43.5196,-114.3153,49.89,82,40,0.0,US,1633826166
Ternuvate,47.8305,36.1276,49.48,31,100,11.95,UA,1633826168
Zabid,14.1951,43.3152,85.69,71,89,3.62,YE,1633826169
Yulara,-25.2406,130.9889,64.24,59,75,18.41,AU,1633826171
Kandé,9.9578,1.0447,75.54,87,100,0.69,TG,1633826172
Te Anau,-45.4167,167.7167,58.91,60,75,6.49,NZ,1633826174
Khovd,48.0056,91.6419,32.63,35,9,1.77,MN,1633826175
Ranong,9.9658,98.6348,76.93,83,98,15.12,TH,1633826177
Agüimes,27.9054,-15.4461,69.01,70,20,14.97,ES,1633826178
Likasi,-10.9814,26.7333,71.74,38,96,3.85,CD,1633826180
Owando,-0.4819,15.8999,72.28,98,100,2.48,CG,1633826181
Ciudad de Armería,18.9333,-103.9667,87.1,85,100,3.04,MX,1633826182
Padang,-0.9492,100.3543,77.05,80,32,2.48,ID,1633825987
Luau,-10.7073,22.2247,71.22,31,5,1.99,AO,1633826185
Urengoy,65.9667,78.3667,27.39,84,24,13.27,RU,1633826186
Vaitape,-16.5167,-151.75,78.73,70,23,5.73,PF,1633826189
Cajamarca,-7.1638,-78.5003,56.05,94,100,1.59,PE,1633826191
Port Lincoln,-34.7333,135.8667,54.25,61,82,15.39,AU,1633826193
Mountain Home,43.133,-115.6912,59.74,38,1,14.97,US,1633826142
Guatapé,6.2327,-75.1586,65.25,98,100,2.46,CO,1633826195
Rolla,37.9514,-91.7713,77.07,64,1,4.0,US,1633826192
Abrau-Dyurso,44.69,37.59,47.66,74,80,7.34,RU,1633826198
Pryazha,61.6926,33.6216,49.23,96,68,6.11,RU,1633826199
Kikwit,-5.041,18.8162,73.35,81,100,1.28,CD,1633826200
Pueblo Bello,8.2041,-76.526,74.05,98,100,4.21,CO,1633826202
Verkhovazh'ye,60.7472,42.0465,46.27,97,100,6.04,RU,1633826204
Eureka,40.8021,-124.1637,62.64,72,0,3.0,US,1633826020
Pleven,43.4167,24.6167,46.8,100,90,4.61,BG,1633826208
Krasnotur'insk,59.7666,60.2086,27.16,89,80,3.31,RU,1633826209
La Macarena,2.1837,-73.7849,75.96,88,99,2.35,CO,1633826211
Joensuu,62.6012,29.7632,52.29,93,90,4.61,FI,1633826212
Hasaki,35.7333,140.8333,72.28,76,31,6.71,JP,1633826213
Viedma,-40.8135,-62.9967,60.48,39,0,14.83,AR,1633826215
Swan River,52.1058,-101.2676,53.49,58,4,2.3,CA,1633826216
Brooks,50.5834,-111.8851,63.23,15,10,1.14,CA,1633826217
Kungurtug,50.5994,97.5228,26.91,66,10,2.44,RU,1633826219
Kaitangata,-46.2817,169.8464,57.92,65,11,6.4,NZ,1633826220
Batagay,67.6333,134.6333,33.1,62,100,5.97,RU,1633826222
Upernavik,72.7868,-56.1549,32.54,75,100,18.43,GL,1633826224
Dunedin,-45.8742,170.5036,56.8,71,8,11.99,NZ,1633826225
Kismayo,-0.3582,42.5454,77.18,84,15,11.59,SO,1633826227
Tarakan,3.3,117.6333,78.3,94,75,2.3,ID,1633826229
Clyde River,70.4692,-68.5914,33.6,78,100,4.34,CA,1633826231
Qobustan,40.0824,49.412,55.51,65,100,6.15,AZ,1633826232
Cabo San Lucas,22.8909,-109.9124,90.7,55,1,4.61,MX,1633826156
College,64.8569,-147.8028,39.58,83,75,4.61,US,1633826235
Harper,4.375,-7.7169,76.23,90,100,6.06,LR,1633826236
Leyland,53.6979,-2.6876,59.14,94,96,7.36,GB,1633826237
Maceió,-9.6658,-35.7353,76.44,94,75,3.44,BR,1633826239
Kirakira,-10.4544,161.9205,83.1,75,49,2.68,SB,1633826240
Ayan,56.45,138.1667,43.99,55,37,7.25,RU,1633826242
Ubatuba,-23.4339,-45.0711,67.59,95,100,11.18,BR,1633826243
Bhīnmāl,25.0,72.25,79.45,77,0,6.58,IN,1633826244
Hrodna,53.6884,23.8258,38.5,85,0,3.83,BY,1633826246
Margate,51.3813,1.3862,52.95,98,41,5.08,GB,1633826247
Haines Junction,60.7522,-137.5108,42.75,49,100,5.75,CA,1633826249
Vanavara,60.34,102.2797,32.79,79,100,18.05,RU,1633826251
Naze,28.3667,129.4833,81.52,74,22,20.13,JP,1633826252
Gamba,-2.65,10.0,76.32,90,100,7.99,GA,1633826254
Iznoski,54.9881,35.3108,35.11,77,6,2.77,RU,1633826255
Jutaí,-5.1833,-68.9,81.27,66,100,2.04,BR,1633826256
Talara,-4.5772,-81.2719,64.49,89,84,12.59,PE,1633825966
Inhambane,-23.865,35.3833,69.06,84,10,7.61,MZ,1633826259
Baharly,38.4362,57.4316,44.76,34,0,3.15,TM,1633826260
Mayumba,-3.432,10.6554,76.59,88,100,7.47,GA,1633826262
Nuevo Progreso,23.1667,-97.95,81.54,65,4,1.01,MX,1633826263
Ahipara,-35.1667,173.1667,60.4,64,72,11.83,NZ,1633826265
Alexandria,31.2156,29.9553,74.19,72,0,8.75,EG,1633826244
Severo-Kuril'sk,50.6789,156.125,47.48,71,50,12.68,RU,1633826268
Pecos,31.4229,-103.4932,97.63,15,1,8.05,US,1633826271
Coyhaique,-45.5752,-72.0662,51.75,66,20,3.44,CL,1633825987
Khartoum,15.5518,32.5324,94.12,19,87,7.2,SD,1633826138
Along,28.1667,94.7667,71.91,95,40,0.94,IN,1633826274
Boone,39.0334,-92.3335,79.65,63,100,3.0,US,1633826217
Kabo,7.6994,18.629,72.68,94,100,3.36,CF,1633826277
Tuatapere,-46.1333,167.6833,62.78,50,84,3.76,NZ,1633826278
Murray Bridge,-35.1167,139.2667,61.47,45,100,11.43,AU,1633826280
Kawalu,-7.3817,108.2082,77.02,82,87,3.4,ID,1633826281
Tura,25.5198,90.2201,75.38,86,0,2.57,IN,1633826283
Beringovskiy,63.05,179.3167,30.9,95,100,6.4,RU,1633826285
Jucás,-6.5253,-39.5275,82.04,53,72,6.87,BR,1633826287
Rawson,-43.3002,-65.1023,64.49,33,0,20.94,AR,1633826288
Jaqué,7.5175,-78.1703,78.55,89,100,5.86,PA,1633826290
Obo,5.3998,26.4869,69.71,95,100,1.74,CF,1633826291
Srednekolymsk,67.45,153.6833,21.34,76,17,4.76,RU,1633826292
Tucumcari,35.1717,-103.725,85.84,16,1,16.11,US,1633826294
Port Hedland,-20.3167,118.5667,84.25,21,0,19.57,AU,1633826296
Aras,42.5617,-2.356,54.05,87,68,6.02,ES,1633826298
Rabo de Peixe,37.8,-25.5833,71.28,81,40,11.5,PT,1633826299
Itarema,-2.9248,-39.9167,79.65,80,16,17.81,BR,1633826300
Derzhavīnsk,51.1,66.3167,38.8,61,0,5.79,KZ,1633826302
Pitsunda,43.1592,40.3378,55.58,56,13,3.2,GE,1633826303
Salinas,36.6777,-121.6555,74.01,62,1,12.66,US,1633826281
Huarmey,-10.0681,-78.1522,64.13,88,63,9.46,PE,1633826306
Tautira,-17.7333,-149.15,84.22,69,34,3.85,PF,1633826307
Meulaboh,4.1363,96.1285,79.36,78,20,4.92,ID,1633826309
Port Blair,11.6667,92.75,78.84,89,75,4.61,IN,1633826310
Kadaya,50.9327,119.2911,37.76,76,11,11.54,RU,1633826312
Whitehorse,60.7161,-135.0538,47.17,39,75,14.97,CA,1633826179
Camaná,-16.6228,-72.7111,63.07,91,99,8.5,PE,1633826314
Katangli,51.7102,143.2326,49.17,69,100,6.38,RU,1633826315
Polis,35.0367,32.4264,66.02,82,0,2.13,CY,1633826317
Snåase,64.2457,12.3778,54.41,98,100,1.83,NO,1633826318
Delījān,33.9905,50.6838,53.89,51,0,1.21,IR,1633826320
Santiago,-33.4569,-70.6483,56.35,62,20,14.97,CL,1633826219
Tutóia,-2.7619,-42.2744,80.15,81,23,10.63,BR,1633826322
Axum,14.1245,38.7244,60.78,70,86,2.84,ET,1633826323
Bathsheba,13.2167,-59.5167,75.81,94,75,11.5,BB,1633826325
Pombas,17.1503,-25.0201,76.78,80,18,11.23,CV,1633826327
Dondo,-19.6094,34.7431,66.42,82,0,5.1,MZ,1633826329
Port Shepstone,-30.7414,30.455,62.4,54,0,20.13,ZA,1633826330
Tual,-5.6667,132.75,82.17,78,90,8.81,ID,1633826332
Arrondissement de Dieppe,49.75,1.1667,49.32,83,26,2.13,FR,1633826333
Grimshaw,56.1834,-117.6027,53.22,43,75,23.02,CA,1633826334
Inndyr,67.0338,14.0276,53.78,93,100,13.82,NO,1633826336
North Bend,43.4065,-124.2243,60.93,77,1,5.75,US,1633826337
Crib Point,-38.35,145.2,61.36,56,55,10.25,AU,1633826339
Paidha,2.4167,30.9855,62.22,90,100,3.87,UG,1633826340
Makakilo City,21.3469,-158.0858,80.92,60,90,17.27,US,1633826341
Kamaishi,39.2667,141.8833,65.35,83,100,13.11,JP,1633826343
Hobyo,5.3505,48.5268,78.28,85,22,11.7,SO,1633826344
Nambucca Heads,-30.65,153.0,88.16,54,100,11.61,AU,1633826346
Warrnambool,-38.3833,142.4833,56.8,70,64,9.93,AU,1633826347
Lokosovo,61.1333,74.8167,28.49,83,89,7.4,RU,1633826349
Shaoguan,24.8,113.5833,76.95,86,100,3.76,CN,1633826350
Adrar,20.5022,-10.0711,84.2,16,55,8.9,MR,1633826352
Paamiut,61.994,-49.6678,35.76,53,100,3.09,GL,1633826353
Choya,52.0108,86.5467,35.65,81,0,4.03,RU,1633826355
Poum,-20.2333,164.0167,74.34,65,0,9.26,NC,1633826356
Rochegda,62.8,43.25,39.27,96,100,2.95,RU,1633826357
Altay,47.8667,88.1167,33.75,43,8,8.12,CN,1633826359
Pedro Carbo,-1.8333,-80.2333,78.28,68,97,7.07,EC,1633826360
Genhe,50.7833,121.5167,36.91,87,100,12.48,CN,1633826363
Albania,41.0,20.0,54.79,80,100,6.04,AL,1633826364
Yenagoa,4.9247,6.2642,74.82,96,99,3.4,NG,1633826365
Richards Bay,-28.783,32.0377,66.2,74,90,19.73,ZA,1633826367
Camacha,33.0833,-16.3333,68.76,68,40,13.8,PT,1633826368
Vylkove,45.4021,29.586,46.87,58,0,11.88,UA,1633826369
Neftçala,39.3742,49.2472,61.36,68,100,8.37,AZ,1633826371
Māngrol,21.1167,70.1167,80.83,79,81,1.14,IN,1633826373
Moranbah,-22.0016,148.0466,87.89,25,0,15.08,AU,1633826375
